LQ144,Pin Name,Type,Level,ADC,DAC,TIM,I2C,USART,UART,SPI,CAN,USB,SWD,FSMC,SDIO,Othr
1,PE2,I/O,FT,,,,,,,,,,,,,TraceCK
2,PE3,I/O,FT,,,,,,,,,,,A19,,TraceD0
3,PE4,I/O,FT,,,,,,,,,,,A20,,TraceD1
4,PE5,I/O,FT,,,,,,,,,,,A21,,TraceD2
5,PE6,I/O,FT,,,,,,,,,,,A22,,TraceD3
6,VBAT,S,VBAT,,,,,,,,,,,,,
7,PC13-TAMPERRTC,I/O,-,,,,,,,,,,,,,Tamper
8,PC14-OSC32_IN,I/O,-,,,,,,,,,,,,,OSC32_IN
9,PC15-OSC32_OUT,I/O,-,,,,,,,,,,,,,OSC32_OUT
10,PF0,I/O,FT,,,,,,,,,,,A0,,
11,PF1,I/O,FT,,,,,,,,,,,A1,,
12,PF2,I/O,FT,,,,,,,,,,,A2,,
13,PF3,I/O,FT,,,,,,,,,,,A3,,
14,PF4,I/O,FT,,,,,,,,,,,A4,,
15,PF5,I/O,FT,,,,,,,,,,,A5,,
16,VSS_5,S,VSS_5,,,,,,,,,,,,,
17,VDD_5,S,VDD_5,,,,,,,,,,,,,
18,PF6,I/O,-,ADC3.4,,,,,,,,,,NIORD,,
19,PF7,I/O,-,ADC3.5,,,,,,,,,,NREG,,
20,PF8,I/O,-,ADC3.6,,,,,,,,,,NIOWR,,
21,PF9,I/O,-,ADC3.7,,,,,,,,,,CD,,
22,PF10,I/O,-,ADC3.8,,,,,,,,,,INTR,,
23,OSC_IN,I,-,,,,,,,,,,,,,OSC_IN
24,OSC_OUT,O,-,,,,,,,,,,,,,OSC_OUT
25,NRST,I/O,-,,,,,,,,,,NRST,,,NRST
26,PC0,I/O,-,ADC123.10,,,,,,,,,,,,
27,PC1,I/O,-,ADC123.11,,,,,,,,,,,,
28,PC2,I/O,-,ADC123.12,,,,,,,,,,,,
29,PC3,I/O,-,ADC123.13,,,,,,,,,,,,
30,VSSA,S,VSSA,,,,,,,,,,,,,
31,VREF-,S,VREF-,,,,,,,,,,,,,
32,VREF+,S,VREF+,,,,,,,,,,,,,
33,VDDA,S,VDDA,,,,,,,,,,,,,
34,PA0-WKUP,I/O,-,ADC123.0,,T2_ETR,,U2_CTS,,,,,,,,"WKUP,T5.1,T8_ETR"
35,PA1,I/O,-,ADC123.1,,T2.2,,U2_RTS,,,,,,,,T5.2
36,PA2,I/O,-,ADC123.2,,T2.3,,U2_TX,,,,,,,,T5.3
37,PA3,I/O,-,ADC123.3,,T2.4,,U2_RX,,,,,,,,T5.4
38,VSS_4,S,VSS_4,,,,,,,,,,,,,
39,VDD_4,S,VDD_4,,,,,,,,,,,,,
40,PA4,I/O,-,ADC12.4,DAC1,,,U2_CK,,SPI1_NSS,,,,,,
41,PA5,I/O,-,ADC12.5,DAC2,,,,,SPI1_SCK,,,,,,
42,PA6,I/O,-,ADC12.6,,T3.1,,,,SPI1_MISO,,,,,,T1_BKIN
43,PA7,I/O,-,ADC12.7,,T3.2,,,,SPI1_MOSI,,,,,,T1.1N
44,PC4,I/O,-,ADC12.14,,,,,,,,,,,,
45,PC5,I/O,-,ADC12.15,,,,,,,,,,,,
46,PB0,I/O,-,ADC12.8,,T3.3,,,,,,,,,,"T1.2N,T8.2N"
47,PB1,I/O,-,ADC12.9,,T3.4,,,,,,,,,,"T1.3N,T8.3N"
48,PB2,I/O,FT,,,,,,,,,,,,,Boot1
49,PF11,I/O,FT,,,,,,,,,,,NIOS16,,
