LQ100,Pin Name,Type,Level,ADC,TIM,I2C,USART,SPI,CAN,USB,SWD,Othr
1,PE2,I/O,FT,,,,,,,,,TraceCK
2,PE3,I/O,FT,,,,,,,,,TraceD0
3,PE4,I/O,FT,,,,,,,,,TraceD1
4,PE5,I/O,FT,,,,,,,,,TraceD2
5,PE6,I/O,FT,,,,,,,,,TraceD3
6,VBAT,S,VBAT,,,,,,,,,
7,PC13-TAMPERRTC,I/O,-,,,,,,,,,Tamper
8,PC14-OSC32_IN,I/O,-,,,,,,,,,OSC32_IN
9,PC15-OSC32_OUT,I/O,-,,,,,,,,,OSC32_OUT
10,VSS_5,S,VSS_5,,,,,,,,,
11,VDD_5,S,VDD_5,,,,,,,,,
12,OSC_IN,I,-,,,,,,,,,"OSC_IN,PD0"
13,OSC_OUT,O,-,,,,,,,,,"OSC_OUT,PD1"
14,NRST,I/O,-,,,,,,,,NRST,NRST
15,PC0,I/O,-,ADC12.10,,,,,,,,
16,PC1,I/O,-,ADC12.11,,,,,,,,
17,PC2,I/O,-,ADC12.12,,,,,,,,
18,PC3,I/O,-,ADC12.13,,,,,,,,
19,VSSA,S,VSSA,,,,,,,,,
20,VREF-,S,VREF-,,,,,,,,,
21,VREF+,S,VREF+,,,,,,,,,
22,VDDA,S,VDDA,,,,,,,,,
23,PA0-WKUP,I/O,-,ADC12.0,T2.1,,U2_CTS,,,,,WKUP
24,PA1,I/O,-,ADC12.1,T2.2,,U2_RTS,,,,,
25,PA2,I/O,-,ADC12.2,T2.3,,U2_TX,,,,,
26,PA3,I/O,-,ADC12.3,T2.4,,U2_RX,,,,,
27,VSS_4,S,VSS_4,,,,,,,,,
28,VDD_4,S,VDD_4,,,,,,,,,
29,PA4,I/O,-,ADC12.4,,,U2_CK,SPI1_NSS,,,,
30,PA5,I/O,-,ADC12.5,,,,SPI1_SCK,,,,
31,PA6,I/O,-,ADC12.6,T3.1,,,SPI1_MISO,,,,T1_BKIN
32,PA7,I/O,-,ADC12.7,T3.2,,,SPI1_MOSI,,,,T1.1N
33,PC4,I/O,-,ADC12.14,,,,,,,,
34,PC5,I/O,-,ADC12.15,,,,,,,,
35,PB0,I/O,-,ADC12.8,T3.3,,,,,,,T1.2N
36,PB1,I/O,-,ADC12.9,T3.4,,,,,,,T1.3N
37,PB2,I/O,FT,,,,,,,,,Boot1
38,PE7,I/O,FT,,T1_ETR,,,,,,,
39,PE8,I/O,FT,,T1.1N,,,,,,,
40,PE9,I/O,FT,,T1.1,,,,,,,
41,PE10,I/O,FT,,T1.2N,,,,,,,
42,PE11,I/O,FT,,T1.2,,,,,,,
43,PE12,I/O,FT,,T1.3N,,,,,,,
44,PE13,I/O,FT,,T1.3,,,,,,,
45,PE14,I/O,FT,,T1.4,,,,,,,
46,PE15,I/O,FT,,T1_BKIN,,,,,,,
47,PB10,I/O,FT,,T2.3,I2C2_SCL,U3_TX,,,,,
48,PB11,I/O,FT,,T2.4,I2C2_SDA,U3_RX,,,,,
49,VSS_1,S,VSS_1,,,,,,,,,
50,VDD_1,S,VDD_1,,,,,,,,,
51,PB12,I/O,FT,,T1_BKIN,,U3_CK,SPI2_NSS,,,,I2C2_SMBAl
52,PB13,I/O,FT,,T1.1N,,U3_CTS,SPI2_SCK,,,,
53,PB14,I/O,FT,,T1.2N,,U3_RTS,SPI2_MISO,,,,
54,PB15,I/O,FT,,T1.3N,,,SPI2_MOSI,,,,
55,PD8,I/O,FT,,,,U3_TX,,,,,
56,PD9,I/O,FT,,,,U3_RX,,,,,
57,PD10,I/O,FT,,,,U3_CK,,,,,
58,PD11,I/O,FT,,,,U3_CTS,,,,,
59,PD12,I/O,FT,,T4.1,,U3_RTS,,,,,
60,PD13,I/O,FT,,T4.2,,,,,,,
61,PD14,I/O,FT,,T4.3,,,,,,,
62,PD15,I/O,FT,,T4.4,,,,,,,
63,PC6,I/O,FT,,T3.1,,,,,,,
64,PC7,I/O,FT,,T3.2,,,,,,,
65,PC8,I/O,FT,,T3.3,,,,,,,
66,PC9,I/O,FT,,T3.4,,,,,,,
67,PA8,I/O,FT,,T1.1,,U1_CK,,,,,MCO
68,PA9,I/O,FT,,T1.2,,U1_TX,,,,,
69,PA10,I/O,FT,,T1.3,,U1_RX,,,,,
70,PA11,I/O,FT,,T1.4,,U1_CTS,,CANRX,USBDM,,
71,PA12,I/O,FT,,T1_ETR,,U1_RTS,,CANTX,USBDP,,
72,PA13,I/O,FT,,,,,,,,SWDIO,JTMS
73,Not,connected,-,,,,,,,,,
74,VSS_2,S,VSS_2,,,,,,,,,
75,VDD_2,S,VDD_2,,,,,,,,,
76,PA14,I/O,FT,,,,,,,,SWCLK,JTCK
