VQ36,Pin Name,Type,Level,ADC,TIM,I2C,USART,SPI,CAN,USB,SWD,Othr
1,VDD_3,S,VDD_3,,,,,,,,,
2,"OSC_IN,PD0",I/O,FT,,,,,,CANRX,,,"OSC_IN,PD0"
3,"OSC_OUT,PD1",I/O,FT,,,,,,CANTX,,,"OSC_OUT,PD1"
4,NRST,I/O,-,,,,,,,,,NRST
5,VSSA,S,VSSA,,,,,,,,,
6,VDDA,S,VDDA,,,,,,,,,
7,PA0-WKUP,I/O,-,ADC12.0,T2.1,,U2_CTS,,,,,WKUP
8,PA1,I/O,-,ADC12.1,T2.2,,U2_RTS,,,,,
9,PA2,I/O,-,ADC12.2,T2.3,,U2_TX,,,,,
10,PA3,I/O,-,ADC12.3,T2.4,,U2_RX,,,,,
11,PA4,I/O,-,ADC12.4,,,U2_CK,SPI1_NSS,,,,
12,PA5,I/O,-,ADC12.5,,,,SPI1_SCK,,,,
13,PA6,I/O,-,ADC12.6,T3.1,,,SPI1_MISO,,,,T1_BKIN
14,PA7,I/O,-,ADC12.7,T3.2,,,SPI1_MOSI,,,,T1.1N
15,PB0,I/O,-,ADC12.8,T3.3,,,,,,,T1.2N
16,PB1,I/O,-,ADC12.9,T3.4,,,,,,,T1.3N
17,PB2,I/O,FT,,,,,,,,,Boot1
18,VSS_1,S,VSS_1,,,,,,,,,
19,VDD_1,S,VDD_1,,,,,,,,,
20,PA8,I/O,FT,,T1.1,,U1_CK,,,,,MCO
21,PA9,I/O,FT,,T1.2,,U1_TX,,,,,
22,PA10,I/O,FT,,T1.3,,U1_RX,,,,,
23,PA11,I/O,FT,,T1.4,,U1_CTS,,CANRX,USBDM,,
24,PA12,I/O,FT,,T1_ETR,,U1_RTS,,CANTX,USBDP,,
25,PA13,I/O,FT,,,,,,,,SWDIO,JTMS
26,VSS_2,S,VSS_2,,,,,,,,,
27,VDD_2,S,VDD_2,,,,,,,,,
28,PA14,I/O,FT,,,,,,,,SWCLK,JTCK
29,PA15,I/O,FT,,T2_ETR,,,SPI1_NSS,,,,JTDI
30,PB3,I/O,FT,,T2.2,,,SPI1_SCK,,,,JTDO
31,PB4,I/O,FT,,T3.1,,,SPI1_MISO,,,NRST,JNTRST
32,PB5,I/O,-,,T3.2,,,SPI1_MOSI,,,,I2C1_SMBAI
33,PB6,I/O,FT,,T4.1,I2C1_SCL,U1_TX,,,,,
34,PB7,I/O,FT,,T4.2,I2C1_SDA,U1_RX,,,,,
35,BOOT0,I,-,,,,,,,,,Boot0
36,VSS_3,S,VSS_3,,,,,,,,,
