LQ48,Pin Name,Type,Level,ADC,TIM,I2C,USART,SPI,CAN,USB,SWD,Othr,Baite
1,VBAT,S,VBAT,,,,,,,,,,Vbat
2,PC13-TAMPERRTC,I/O,-,,,,,,,,,Tamper,D14
3,PC14-OSC32_IN,I/O,-,,,,,,,,,OSC32_IN,D13
4,PC15-OSC32_OUT,I/O,-,,,,,,,,,OSC32_OUT,D12
5,OSC_IN,I,-,,,,,,,,,"OSC_IN,PD0",
6,OSC_OUT,O,-,,,,,,,,,"OSC_OUT,PD1",
7,NRST,I/O,-,,,,,,,,NRST,NRST,reset
8,VSSA,S,VSSA,,,,,,,,,,GND
9,VDDA,S,VDDA,,,,,,,,,,VCC
10,PA0,I/O,-,ADC12.0,T2.1,,U2_CTS,,,,,WKUP,D11
11,PA1,I/O,-,ADC12.1,T2.2,,U2_RTS,,,,,,D10
12,PA2,I/O,-,ADC12.2,T2.3,,U2_TX,,,,,,D9
13,PA3,I/O,-,ADC12.3,T2.4,,U2_RX,,,,,,D8
14,PA4,I/O,-,ADC12.4,,,U2_CK,SPI1_NSS,,,,,D7
15,PA5,I/O,-,ADC12.5,,,,SPI1_SCK,,,,,D6
16,PA6,I/O,-,ADC12.6,T3.1,,,SPI1_MISO,,,,T1_BKIN,D5
17,PA7,I/O,-,ADC12.7,T3.2,,,SPI1_MOSI,,,,T1.1N,D4
18,PB0,I/O,-,ADC12.8,T3.3,,,,,,,T1.2N,D3
19,PB1,I/O,-,ADC12.9,T3.4,,,,,,,T1.3N,(LED)
20,PB2,I/O,FT,,,,,,,,,Boot1,D2
21,PB10,I/O,FT,,T2.3,I2C2_SCL,U3_TX,,,,,,D1
22,PB11,I/O,FT,,T2.4,I2C2_SDA,U3_RX,,,,,,D0
23,VSS_1,S,VSS_1,,,,,,,,,,GND
24,VDD_1,S,VDD_1,,,,,,,,,,VCC
25,PB12,I/O,FT,,T1_BKIN,,U3_CK,SPI2_NSS,,,,I2C2_SMBAl,D31
26,PB13,I/O,FT,,T1.1N,,U3_CTS,SPI2_SCK,,,,,D30
27,PB14,I/O,FT,,T1.2N,,U3_RTS,SPI2_MISO,,,,,D29
28,PB15,I/O,FT,,T1.3N,,,SPI2_MOSI,,,,,D28
29,PA8,I/O,FT,,T1.1,,U1_CK,,,,,MCO,D27
30,PA9,I/O,FT,,T1.2,,U1_TX,,,,,,D26
31,PA10,I/O,FT,,T1.3,,U1_RX,,,,,,D25
32,PA11,I/O,FT,,T1.4,,U1_CTS,,CANRX,USBDM,,,D24
33,PA12,I/O,FT,,T1_ETR,,U1_RTS,,CANTX,USBDP,,,D23
34,PA13,I/O,FT,,,,,,,,SWDIO,JTMS,D22
35,VSS_2,S,VSS_2,,,,,,,,,,GND
36,VDD_2,S,VDD_2,,,,,,,,,,VCC
37,PA14,I/O,FT,,,,,,,,SWCLK,JTCK,D21
38,PA15,I/O,FT,,T2_ETR,,,SPI1_NSS,,,,JTDI,D20
39,PB3,I/O,FT,,T2.2,,,SPI1_SCK,,,,JTDO,D19
40,PB4,I/O,FT,,T3.1,,,SPI1_MISO,,,,JNTRST,D18
41,PB5,I/O,-,,T3.2,,,SPI1_MOSI,,,,I2C1_SMBAI,D17
42,PB6,I/O,FT,,T4.1,I2C1_SCL,U1_TX,,,,,,D16
43,PB7,I/O,FT,,T4.2,I2C1_SDA,U1_RX,,,,,,D15
44,BOOT0,I,-,,,,,,,,,Boot0,
45,PB8,I/O,FT,,T4.3,I2C1_SCL,,,CANRX,,,,But
46,PB9,I/O,FT,,T4.4,I2C1_SDA,,,CANTX,,,,
47,VSS_3,S,VSS_3,,,,,,,,,,GND
48,VDD_3,S,VDD_3,,,,,,,,,,VCC
