LQ64,Pin Name,Type,Level,ADC,TIM,I2C,USART,SPI,CAN,USB,SWD,Othr,Maple
1,VBAT,S,VBAT,,,,,,,,,,Vbat
2,PC13-TAMPERRTC,I/O,-,,,,,,,,,Tamper,D21
3,PC14-OSC32_IN,I/O,-,,,,,,,,,OSC32_IN,D22
4,PC15-OSC32_OUT,I/O,-,,,,,,,,,OSC32_OUT,D23
5,OSC_IN,I,-,,,,,,,,,"OSC_IN,PD0",
6,OSC_OUT,O,-,,,,,,,,,"OSC_OUT,PD1",
7,NRST,I/O,-,,,,,,,,NRST,NRST,SWD10
8,PC0,I/O,-,ADC12.10,,,,,,,,,D15/A0
9,PC1,I/O,-,ADC12.11,,,,,,,,,D16/A1
10,PC2,I/O,-,ADC12.12,,,,,,,,,D17/A2
11,PC3,I/O,-,ADC12.13,,,,,,,,,D18/A3
12,VSSA,S,VSSA,,,,,,,,,,A-GND
13,VDDA,S,VDDA,,,,,,,,,,A-VCC
14,PA0-WKUP,I/O,-,ADC12.0,T2.1,,U2_CTS,,,,,WKUP,D2
15,PA1,I/O,-,ADC12.1,T2.2,,U2_RTS,,,,,,D3/L2
16,PA2,I/O,-,ADC12.2,T2.3,,U2_TX,,,,,,D1
17,PA3,I/O,-,ADC12.3,T2.4,,U2_RX,,,,,,D0
18,VSS_4,S,VSS_4,,,,,,,,,,GND
19,VDD_4,S,VDD_4,,,,,,,,,,VCC
20,PA4,I/O,-,ADC12.4,,,U2_CK,SPI1_NSS,,,,,D10/(U10)
21,PA5,I/O,-,ADC12.5,,,,SPI1_SCK,,,,,D13/L1/U7
22,PA6,I/O,-,ADC12.6,T3.1,,,SPI1_MISO,,,,T1_BKIN,D12/U5
23,PA7,I/O,-,ADC12.7,T3.2,,,SPI1_MOSI,,,,T1.1N,D11/U8
24,PC4,I/O,-,ADC12.14,,,,,,,,,D19/A4
25,PC5,I/O,-,ADC12.15,,,,,,,,,D20/A5
26,PB0,I/O,-,ADC12.8,T3.3,,,,,,,T1.2N,D27/E5
27,PB1,I/O,-,ADC12.9,T3.4,,,,,,,T1.3N,D28/E6
28,PB2,I/O,FT,,,,,,,,,Boot1,GND
29,PB10,I/O,FT,,T2.3,I2C2_SCL,U3_TX,,,,,,D29/E7
30,PB11,I/O,FT,,T2.4,I2C2_SDA,U3_RX,,,,,,D30/E8
31,VSS_1,S,VSS_1,,,,,,,,,,
32,VDD_1,S,VDD_1,,,,,,,,,,
33,PB12,I/O,FT,,T1_BKIN,,U3_CK,SPI2_NSS,,,,I2C2_SMBAl,D31/E9
34,PB13,I/O,FT,,T1.1N,,U3_CTS,SPI2_SCK,,,,,D32/E10
35,PB14,I/O,FT,,T1.2N,,U3_RTS,SPI2_MISO,,,,,D33/E11
36,PB15,I/O,FT,,T1.3N,,,SPI2_MOSI,,,,,D34/E12
37,PC6,I/O,FT,,T3.1,,,,,,,,D35/E13
38,PC7,I/O,FT,,T3.2,,,,,,,,D36/E14
39,PC8,I/O,FT,,T3.3,,,,,,,,D37/E15
40,PC9,I/O,FT,,T3.4,,,,,,,,
41,PA8,I/O,FT,,T1.1,,U1_CK,,,,,MCO,D6
42,PA9,I/O,FT,,T1.2,,U1_TX,,,,,,D7/U1
43,PA10,I/O,FT,,T1.3,,U1_RX,,,,,,D8/U4
44,PA11,I/O,FT,,T1.4,,U1_CTS,,CANRX,USBDM,,,USB-
45,PA12,I/O,FT,,T1_ETR,,U1_RTS,,CANTX,USBDP,,,USB+
46,PA13,I/O,FT,,,,,,,,SWDIO,JTMS,SWD2
47,VSS_2,S,VSS_2,,,,,,,,,,GND
48,VDD_2,S,VDD_2,,,,,,,,,,VCC
49,PA14,I/O,FT,,,,,,,,SWCLK,JTCK,SWD4
50,PA15,I/O,FT,,T2_ETR,,,SPI1_NSS,,,,JTDI,SWD8
51,PC10,I/O,FT,,,,U3_TX,,,,,,
52,PC11,I/O,FT,,,,U3_RX,,,,,,
53,PC12,I/O,FT,,,,U3_CK,,,,,,
54,PD2,I/O,FT,,T3_ETR,,,,,,,,
55,PB3,I/O,FT,,T2.2,,,SPI1_SCK,,,,JTDO,SWD6
56,PB4,I/O,FT,,T3.1,,,SPI1_MISO,,,,JNTRST,
57,PB5,I/O,-,,T3.2,,,SPI1_MOSI,,,,I2C1_SMBAI,D4/(U10)
58,PB6,I/O,FT,,T4.1,I2C1_SCL,U1_TX,,,,,,D5
59,PB7,I/O,FT,,T4.2,I2C1_SDA,U1_RX,,,,,,D9
60,BOOT0,I,-,,,,,,,,,Boot0,But
61,PB8,I/O,FT,,T4.3,I2C1_SCL,,,CANRX,,,,D14/CTx
62,PB9,I/O,FT,,T4.4,I2C1_SDA,,,CANTX,,,,D24/CRx
63,VSS_3,S,VSS_3,,,,,,,,,,
64,VDD_3,S,VDD_3,,,,,,,,,,
